date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:37	5397/5397	---MCZ	200	added ('OK')	text/html	etag:W/%2245ad322834a9d826cb40b012a76ae4de%22	https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/mariab34a.html	(from )
12:51:37	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2016:51:36%20GMT	https://max-happy.vercel.app/robots.txt		(from )
12:51:37	951/951	---M--	200	added ('OK')	image/png	etag:%22336177a4dd1f08858556f243b092ab83%22	https://max-happy.vercel.app/julio/image/favicon-16x16.png	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/image/favicon-16x16.png	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:37	6516/6516	---MCZ	200	added ('OK')	text/css	etag:W/%2237d0c32aed79a895017127a0ddfcb4ce%22	https://max-happy.vercel.app/julio/conten/style.css	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/conten/style.css	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:38	6060/6060	---MCZ	200	added ('OK')	text/css	etag:W/%228713c17dfb1dd65191301342e88998a5%22	https://max-happy.vercel.app/julio/css/overlay.css	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/css/overlay.css	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:38	3435/3435	---MCZ	200	added ('OK')	text/css	etag:W/%2207393111163d131858441d6f126d3ab4%22	https://max-happy.vercel.app/julio/css/styles.css	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/css/styles.css	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:38	9396/9396	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b1edf76783b96bc6b3a71d28fb4b80a8%22	https://max-happy.vercel.app/julio/previo.svg	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/previo.svg	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:38	9384/9384	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cf6d68af77ba034e85c506a62e5c5377%22	https://max-happy.vercel.app/julio/nxt.svg	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/nxt.svg	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:38	20030/20030	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a65fdcec8343262bbe0621dacdc540b%22	https://max-happy.vercel.app/julio/js/link.js	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/js/link.js	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
12:51:39	282/282	---M--	200	added ('OK')	application/javascript	etag:%2283fe2a03c11682510ce1c32ee05d2f9c%22	https://max-happy.vercel.app/julio/js/ads.js	C:/Users/USUARIO/Desktop/mio/casimu/max-happy.vercel.app/julio/js/ads.js	(from https://max-happy.vercel.app/julio/maria?fbclid=IwZXh0bgNhZW0CMTEAAR0H1NQql_8ea3GUhT41YfPzc8Ivfn7j-Bkp31Ny4daHqfeeKR8f-XSvY8c_aem_gIiXbVgcpNino2Z6RO_KbQ)
